Key,en,es,ar,fr
Send Message,Send Message,Enviar mensaje,إرسال رسالة,Envoyer un message
Registration Option Currently Off,Registration Option Currently Off,Opción de registro actualmente desactivada,خيار التسجيل مغلق حاليًا,Option d'inscription actuellement désactivée
Select Payment Method,Select Payment Method,Seleccione el método de pago,اختر طريقة الدفع,Sélectionnez le mode de paiement
Pay With,Pay With,Pagar con,ادفع بـ,Payer avec
Cash Balance,Cash Balance,Saldo de efectivo,الرصيد النقدي,Solde de trésorerie
Other Payment Method,Other Payment Method,Otro método de pago,طريقة دفع أخرى,Autre mode de paiement
Payment,Payment,Pago,قسط,Paiement
Booking Request Sent Successfully,Booking Request Sent Successfully,Solicitud de reserva enviada con éxito,تم إرسال طلب الحجز بنجاح,Demande de réservation envoyée avec succès
Transaction failed. Record didn't saved properly. Please try again.,Transaction failed. Record didn't saved properly. Please try again.,Error en la transacción. El registro no se guardó correctamente. Inténtalo de nuevo.,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. يُرجى المحاولة مرة أخرى.,Échec de la transaction. L'enregistrement n'a pas été correctement sauvegardé. Veuillez réessayer.
Failed to save data. Please try again,Failed to save data. Please try again,No se pudieron guardar los datos. Inténtalo de nuevo.,فشل حفظ البيانات. يُرجى المحاولة مرة أخرى.,Échec de l'enregistrement des données. Veuillez réessayer.
Invalid request,Invalid request,Solicitud no válida,طلب غير صالح,Demande invalide
Payment Logs,Payment Logs,Registros de pagos,سجلات الدفع,Journaux de paiement
Refund Logs,Refund Logs,Registros de reembolsos,سجلات استرداد الأموال,Journaux de remboursement
Vendor wallet couldn't found,Vendor wallet couldn't found,No se pudo encontrar la billetera del vendedor,لم يتم العثور على محفظة البائع,Le portefeuille du fournisseur n'a pas pu être trouvé
Wallet Balance,Wallet Balance,Saldo de la billetera,رصيد المحفظة,Solde du portefeuille
Money Withdrawl,Money Withdrawl,Retiro de dinero,سحب الأموال,Retrait d'argent
Withdraw Money,Withdraw Money,Retirar dinero,سحب الأموال,Retirer de l'argent
Withdraw Amount,Withdraw Amount,Monto a retirar,سحب المبلغ,Montant retiré
Receiving Gateway,Receiving Gateway,Puerta de enlace de recepción,بوابة الاستقبال,Passerelle de réception
Select Gateway Currency,Select Gateway Currency,Seleccionar moneda de la puerta de enlace,حدد عملة البوابة,Sélectionnez la devise de la passerelle
Summary,Summary,Resumen,ملخص,Résumé
Total Payable Amount,Total Payable Amount,Importe total a pagar,إجمالي المبلغ المستحق,Montant total à payer
Your Money Out request approved by admin,Your Money Out request approved by admin,Su solicitud de retiro de dinero fue aprobada por el administrador,تمت الموافقة على طلب سحب الأموال الخاص بك من قبل الإدارة,Votre demande de retrait d'argent approuvée par l'administrateur
successful,successful,exitoso,ناجح,réussi
This transaction is already approved,This transaction is already approved,Esta transacción ya está aprobada,تمت الموافقة على هذه المعاملة بالفعل,Cette transaction est déjà approuvée
Action Denied!,Action Denied!,¡Acción denegada!,تم رفض الإجراء!,Action refusée !
Transaction Details,Transaction Details,Detalles de la transacción,تفاصيل المعاملة,Détails de la transaction
Payment details for,Payment details for,Detalles de pago para,تفاصيل الدفع لـ,Détails de paiement pour
Payment approved successfully,Payment approved successfully,Pago aprobado exitosamente,تمت الموافقة على الدفع بنجاح,Paiement approuvé avec succès
Payment request rejected successfully,Payment request rejected successfully,Solicitud de pago rechazada exitosamente,تم رفض طلب الدفع بنجاح,Demande de paiement rejetée avec succès
Status updated successfully!,Status updated successfully!,¡Estado actualizado exitosamente!,تم تحديث الحالة بنجاح!,Statut mis à jour avec succès !
Refundable,Refundable,Reintegrable,قابلة للاسترداد,Remboursable
Trip ID,Trip ID,Identificación del viaje,معرف الرحلة,ID de voyage
Car Booking Logs,Car Booking Logs,Registros de reservas de vehículos,سجلات حجز السيارات,Journaux de réservation de voiture
Booking Reject,Booking Reject,Rechazo de reserva,رفض الحجز,Rejet de réservation
Booking List,Booking List,Lista de reservas,قائمة الحجز,Liste de réservation
Complete Ride,Complete Ride,Viaje completo,رحلة كاملة,Parcours complet
Total Bookings,Total Bookings,Reservas totales,إجمالي الحجوزات,Total des réservations
Total Support Ticket,Total Support Ticket,Ticket de soporte total,تذكرة الدعم الكامل,Ticket d'assistance total
Total Ticket,Total Ticket,Boleto total,إجمالي التذكرة,Billet total
Complete Ticket,Complete Ticket,Boleto completo,تذكرة كاملة,Billet complet
Admin Profit,Admin Profit,Beneficio administrativo,ربح الإدارة,Bénéfice administratif
View Vendor,View Vendor,Ver proveedor,عرض البائع,Voir le fournisseur
Vendor Analytics,Vendor Analytics,Análisis de proveedores,تحليلات البائعين,Analyse des fournisseurs
View Users,View Users,Ver usuarios,عرض المستخدمين,Afficher les utilisateurs
Request Accepted,Request Accepted,Solicitud aceptada,تم قبول الطلب,Demande acceptée
Vendor accepted your request,Vendor accepted your request,El proveedor aceptó su solicitud,لقد قبل البائع طلبك,Le vendeur a accepté votre demande
Vendor rejected your request,Vendor rejected your request,El proveedor rechazó su solicitud,رفض البائع طلبك,Le fournisseur a rejeté votre demande
You have completed your ride,You have completed your ride,Has completado tu recorrido,لقد أكملت رحلتك,Vous avez terminé votre parcours
Ride Complete,Ride Complete,Viaje completo,رحلة مكتملة,Course terminée
Payment Refunded,Payment Refunded,Pago reembolsado,تم استرداد الدفع,Paiement remboursé
Admin refunded your payment,Admin refunded your payment,El administrador reembolsó su pago,قام المسؤول برد دفعتك,L'administrateur a remboursé votre paiement
Due payment added to your wallet,Due payment added to your wallet,Pago debido añadido a tu billetera,تمت إضافة الدفعة المستحقة إلى محفظتك,Paiement dû ajouté à votre portefeuille
Admin Rejected your payment,Admin Rejected your payment,El administrador rechazó su pago,لقد رفض المسؤول الدفع الخاص بك,L'administrateur a rejeté votre paiement
Re-payment,Re-payment,Reembolso,السداد,Remboursement
Transaction is already completed,Transaction is already completed,La transacción ya está completada,تمت المعاملة بالفعل,La transaction est déjà terminée
Total Round Trips,Total Round Trips,Total de viajes de ida y vuelta,إجمالي الرحلات ذهابًا وإيابًا,Nombre total d'allers-retours
Total Ride Complete,Total Ride Complete,Total Ride Complete,إجمالي الرحلة كاملة,Total Ride terminé
Total Bookings Amount,Total Bookings Amount,Importe total de reservas,إجمالي مبلغ الحجوزات,Montant total des réservations
Vendor wallet not found!,Vendor wallet not found!,¡No se encontró la billetera del vendedor!,لم يتم العثور على محفظة البائع!,Portefeuille du fournisseur introuvable !
Vendor do not have sufficient balance,Vendor do not have sufficient balance,El proveedor no tiene saldo suficiente,البائع ليس لديه رصيد كاف,Le vendeur n'a pas de solde suffisant
Transaction Failed!,Transaction Failed!,¡Transacción fallida!,فشلت المعاملة!,Transaction échouée !
Transaction success,Transaction success,éxito de la transacción,نجاح المعاملة,Succès de la transaction
Vendor Wallet,Vendor Wallet,Billetera del vendedor,محفظة البائع,Portefeuille du fournisseur
Remark,Remark,Observación,ملاحظة,Remarque
Write Here..,Write Here..,Escribe aquí..,اكتب هنا..,Écrivez ici..
Last Edit By,Last Edit By,Última edición por,آخر تعديل بواسطة,Dernière modification par
View More,View More,Ver más,عرض المزيد,Voir plus
Latest Withdraw Money,Latest Withdraw Money,Último retiro de dinero,أحدث سحب الأموال,Dernier retrait d'argent
Withdraw Logs,Withdraw Logs,Registros de retiro,سحب السجلات,Retirer les journaux
Online Payment,Online Payment,Pago en línea,الدفع عبر الإنترنت,Paiement en ligne
Cash,Cash,Dinero,نقدي,Espèces
Per K/M Charge,Per K/M Charge,Por cargo por K/M,رسوم لكل كم/م,Frais par kilomètre
Ride Status,Ride Status,Estado del viaje,حالة الرحلة,Statut du trajet
Not replied yet,Not replied yet,Aún no he respondido,لم يتم الرد بعد,Pas encore répondu
Payment Type,Payment Type,Tipo de pago,نوع الدفع,Type de paiement
Car Booking Overview,Car Booking Overview,Descripción general de la reserva de coches,نظرة عامة على حجز السيارات,Aperçu de la réservation de voiture
My Cars,My Cars,Mis coches,سياراتي,Mes voitures
Car Edit,Car Edit,Edición de coche,تعديل السيارة,Modification de voiture
Area,Area,Área,منطقة,Zone
Delete,Delete,Borrar,يمسح,Supprimer
Edit,Edit,Editar,يحرر,Modifier
Accept,Accept,Aceptar,يقبل,Accepter
Total Booked,Total Booked,Total reservado,إجمالي المحجوز,Total réservé
Phone No,Phone No,Número de teléfono,رقم الهاتف,Numéro de téléphone
Pick-up Location,Pick-up Location,Lugar de recogida,مكان الاستلام,Lieu de prise en charge
Pick-up Date,Pick-up Date,Fecha de recogida,تاريخ الاستلام,Date de prise en charge
Pick-up Time,Pick-up Time,Hora de recogida,وقت الاستلام,Heure de prise en charge
Round Trip Time,Round Trip Time,Tiempo de ida y vuelta,وقت الرحلة ذهابًا وإيابًا,Temps de trajet aller-retour
Round Trip Date,Round Trip Date,Fecha de ida y vuelta,تاريخ الرحلة ذهابًا وإيابًا,Date du voyage aller-retour
History List,History List,Lista de historial,قائمة التاريخ,Liste d'histoire
Total Payments,Total Payments,Pagos totales,إجمالي المدفوعات,Total des paiements
Total Vendor,Total Vendor,Proveedor total,إجمالي البائع,Fournisseur total
Completed,Completed,Terminado,مكتمل,Complété
Monthly Money Out Chart,Monthly Money Out Chart,Gráfico de salida de dinero mensual,مخطط صرف الأموال شهريًا,Graphique des sorties d'argent mensuelles
All,All,Todo,الجميع,Tous
Latest Money Withdraw,Latest Money Withdraw,Último retiro de dinero,أحدث سحب للأموال,Dernier retrait d'argent
Add Car Type,Add Car Type,Agregar tipo de vehículo,أضف نوع السيارة,Ajouter un type de voiture
Add Type,Add Type,Agregar tipo,إضافة نوع,Ajouter un type
Add Area,Add Area,Agregar área,إضافة منطقة,Ajouter une zone
Car Types,Car Types,Tipos de coches,أنواع السيارات,Types de voitures
Edit Car Type,Edit Car Type,Editar tipo de coche,تعديل نوع السيارة,Modifier le type de voiture
Car Area Create,Car Area Create,Área de coches Crear,إنشاء منطقة السيارة,Créer une zone de voiture
Area Name,Area Name,Nombre del área,اسم المنطقة,Nom de la zone
Car Area Edit,Car Area Edit,Editar área del coche,تعديل منطقة السيارة,Modifier la zone de voiture
Fees,Fees,Honorarios,مصاريف,Frais
Conversion Amount,Conversion Amount,Monto de conversión,مبلغ التحويل,Montant de la conversion
Date,Date,Fecha,تاريخ,Date
Add Money Details,Add Money Details,Agregar detalles de dinero,إضافة تفاصيل الأموال,Ajouter des détails financiers
Update Status,Update Status,Estado de actualización,تحديث الحالة,Mettre à jour le statut
Transaction ID,Transaction ID,ID de transacción,معرف المعاملة,ID de transaction
After Charge,After Charge,Después de la carga,بعد الشحن,Après la charge
Receiver Will Get,Receiver Will Get,El receptor recibirá,سوف يحصل المتلقي على,Le récepteur recevra
Model,Model,Modelo,نموذج,Modèle
Number,Number,Número,رقم,Nombre
Seat Number,Seat Number,Número de asiento,رقم المقعد,Numéro de siège
Experience Year,Experience Year,Año de experiencia,سنة الخبرة,Année d'expérience
Total Distance,Total Distance,Distancia total,المسافة الإجمالية,Distance totale
Payable Amount,Payable Amount,Monto a pagar,المبلغ المستحق,Montant à payer
Car Information,Car Information,Información del vehículo,معلومات السيارة,Informations sur la voiture
Booking Information,Booking Information,Información de reserva,معلومات الحجز,Informations de réservation
User Information,User Information,Información del usuario,معلومات المستخدم,Informations utilisateur
Booking Details,Booking Details,Detalles de la reserva,تفاصيل الحجز,Détails de la réservation
Bookings,Bookings,Reservas,الحجوزات,Réservations
Booking Rejected,Booking Rejected,Reserva rechazada,تم رفض الحجز,Réservation rejetée
Round Trips,Round Trips,Viajes de ida y vuelta,رحلات ذهابًا وإيابًا,Voyages aller-retour
Options,Options,Opciones,خيارات,Options
Banned Vendor,Banned Vendor,Proveedor prohibido,البائع المحظور,Vendeur interdit
Book Your Car,Book Your Car,Reserva tu coche,احجز سيارتك,Réservez votre voiture
Enter Google Authenticator Code,Enter Google Authenticator Code,Introduzca el código de Google Authenticator,أدخل رمز مصادقة Google,Entrez le code Google Authenticator
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,المصادقة الثنائية,Authentificateur à deux facteurs
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator agrega una capa adicional de seguridad a tus cuentas en línea al agregar un segundo paso de verificación cuando inicias sesión. Esto significa que, además de tu contraseña, también deberás ingresar un código generado por la aplicación Google Authenticator en tu teléfono.",يضيف تطبيق Google Authenticator طبقة أمان إضافية إلى حساباتك عبر الإنترنت من خلال إضافة خطوة تحقق ثانية عند تسجيل الدخول. هذا يعني أنه بالإضافة إلى كلمة المرور، ستحتاج أيضًا إلى إدخال رمز يتم إنشاؤه بواسطة تطبيق Google Authenticator على هاتفك.,"Google Authenticator ajoute une couche de sécurité supplémentaire à vos comptes en ligne en ajoutant une deuxième étape de vérification lorsque vous vous connectez. Cela signifie qu'en plus de votre mot de passe, vous devrez également saisir un code généré par l'application Google Authenticator sur votre téléphone."
How to Setup,How to Setup,Cómo configurar,كيفية الإعداد,Comment configurer
No car added yet,No car added yet,Ningún coche añadido todavía,لم تتم إضافة أي سيارة بعد,Aucune voiture ajoutée pour le moment
No Bookings Found!,No Bookings Found!,¡No se encontraron reservas!,لم يتم العثور على أي حجوزات!,Aucune réservation trouvée !
Vendor Logo (Light Version),Vendor Logo (Light Version),Logotipo del proveedor (versión clara),شعار البائع (النسخة الخفيفة),Logo du fournisseur (version allégée)
Vendor Favicon (Light Version),Vendor Favicon (Light Version),Favicon de vendedor (versión ligera),رمز البائع المفضل (الإصدار الخفيف),Favicon du fournisseur (version allégée)
Vendor Logo (Dark Version),Vendor Logo (Dark Version),Logotipo del proveedor (versión oscura),شعار البائع (النسخة الداكنة),Logo du fournisseur (version sombre)
Vendor Favicon (Dark Version),Vendor Favicon (Dark Version),Favicon de vendedor (versión oscura),رمز البائع المفضل (النسخة المظلمة),Favicon du vendeur (version sombre)
Vendor Splash Screen,Vendor Splash Screen,Pantalla de presentación del proveedor,شاشة عرض البائع,Écran de démarrage du fournisseur
Vendor App URLs,Vendor App URLs,URL de aplicaciones de proveedores,عناوين URL لتطبيق البائع,URL des applications des fournisseurs
Vendor App Settings,Vendor App Settings,Configuración de la aplicación del proveedor,إعدادات تطبيق البائع,Paramètres de l'application du fournisseur
Vendor Onboard Screen,Vendor Onboard Screen,Pantalla de incorporación de proveedores,شاشة البائع على متن الطائرة,Écran d'accueil du fournisseur
Due Payment,Due Payment,Pago vencido,الدفع المستحق,Paiement dû
Cash Payment Charge,Cash Payment Charge,Cargo por pago en efectivo,رسوم الدفع النقدي,Frais de paiement en espèces
Not Approved,Not Approved,No aprobado,غير معتمد,Non approuvé
Total Booking Request,Total Booking Request,Solicitud de reserva total,إجمالي طلب الحجز,Demande de réservation totale
Total Complete Trip,Total Complete Trip,Viaje completo total,إجمالي الرحلة الكاملة,Voyage complet total
Total Round Trip,Total Round Trip,Total ida y vuelta,إجمالي الرحلة ذهابًا وإيابًا,Total aller-retour
Recent Booking Logs,Recent Booking Logs,Registros de reservas recientes,سجلات الحجز الأخيرة,Journaux de réservation récents
No notification yet,No notification yet,Aún no hay notificaciones,لا يوجد إشعار حتى الآن,Aucune notification pour le moment
Delete Account,Delete Account,Eliminar cuenta,حذف الحساب,Supprimer le compte
Please select future time,Please select future time,Por favor seleccione una hora futura,الرجاء تحديد الوقت المستقبلي,Veuillez sélectionner une heure future
Please verify your KYC information first,Please verify your KYC information first,Primero verifique su información KYC,يرجى التحقق من معلومات KYC الخاصة بك أولاً,Veuillez d'abord vérifier vos informations KYC
Your KYC information is pending. Please wait for admin confirmation.,Your KYC information is pending. Please wait for admin confirmation.,Su información KYC está pendiente. Espere la confirmación del administrador.,معلومات KYC الخاصة بك قيد الانتظار. يُرجى انتظار تأكيد المسؤول.,Vos informations KYC sont en attente. Veuillez attendre la confirmation de l'administrateur.
Total Income,Total Income,Ingresos totales,إجمالي الدخل,Revenu total
Manual Payment Methods,Manual Payment Methods,Métodos de pago manuales,طرق الدفع اليدوية,Méthodes de paiement manuelles
Automatic Payment Methods,Automatic Payment Methods,Métodos de pago automáticos,طرق الدفع التلقائية,Méthodes de paiement automatiques
Automatic Payment Method Edit,Automatic Payment Method Edit,Editar método de pago automático,تعديل طريقة الدفع التلقائي,Modifier le mode de paiement automatique
Manual Payment Method Edit,Manual Payment Method Edit,Edición manual del método de pago,تعديل طريقة الدفع اليدوي,Modification manuelle du mode de paiement
Payment Method,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
Automatic Payment Method,Automatic Payment Method,Método de pago automático,طريقة الدفع التلقائي,Méthode de paiement automatique
Add Automatic Gateway (Payment Method),Add Automatic Gateway (Payment Method),Agregar pasarela automática (método de pago),إضافة بوابة الدفع التلقائية (طريقة الدفع),Ajouter une passerelle automatique (mode de paiement)
Manual Payment Method,Manual Payment Method,Método de pago manual,طريقة الدفع اليدوي,Méthode de paiement manuelle
Proceed Web,Proceed Web,Proceder a la Web,متابعة الويب,Procéder Web
Preview Web,Preview Web,Vista previa web,معاينة الويب,Aperçu Web
Full Amount,Full Amount,Importe total,المبلغ الكامل,Montant total
Monthly Payment Chart,Monthly Payment Chart,Tabla de pagos mensuales,مخطط الدفع الشهري,Tableau des paiements mensuels
Withdraw Overview,Withdraw Overview,Resumen de retiros,نظرة عامة على السحب,Aperçu du retrait
Booking Overview,Booking Overview,Descripción general de la reserva,نظرة عامة على الحجز,Aperçu de la réservation
appLPleaseFillOutTheField,Please Fill Out The Field,"Por favor, rellene el campo",الرجاء ملء الحقل,Veuillez remplir le champ
appLFrom,From,De,من,Depuis
appLFromGallery,From Gallery,De la galería,من المعرض,De la galerie
appLFromCamera,From Camera,Desde la cámara,من الكاميرا,De la caméra
appLHistory,History,Historia,تاريخ,Histoire
appLPrivacyPolicy,Privacy Policy,política de privacidad,سياسة الخصوصية,politique de confidentialité
appLPreview,Preview,Avance,معاينة,Aperçu
appLLogOutAlert,Log Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Alerte de déconnexion
appLAboutUs,About Us,Sobre nosotros,معلومات عنا,À propos de nous
appLBookingPreview,Booking Preview,Vista previa de la reserva,معاينة الحجز,Aperçu de la réservation
appLPayment,Payment,Pago,قسط,Paiement
appLConfirmation,Confirmation,Confirmación,تأكيد,Confirmation
appLSuccess,Successful,Exitoso,ناجح,Réussi
appLBackToHome,Back To Home,Volver a casa,العودة إلى الصفحة الرئيسية,Retour à la maison
appLServerError,Server Error,Error del servidor,خطأ في الخادم,Erreur du serveur
appLPaymentInstructions,Payment Instructions,Instrucciones de pago,تعليمات الدفع,Instructions de paiement
appLNewToCarbo,New to Carbo?,¿Eres nuevo en Carbo?,هل أنت جديد في كاربو؟,Nouveau sur Carbo ?
appLAgreeToTerms,Please agree to the Terms and Conditions,"Por favor, acepte los Términos y Condiciones.",الرجاء الموافقة على الشروط والأحكام,Veuillez accepter les conditions générales
appLSpeed,Speed,Velocidad,سرعة,Vitesse
appLKmCharge,Km Charge :,Carga por km:,كم رسوم :,Frais kilométriques :
appLHelpCenter,Help Center,Centro de ayuda,مركز المساعدة,Centre d'aide
appLAcceleration,Acceleration,Aceleración,تسريع,Accélération
appLTotalBooked,Total Booked,Total reservado,إجمالي المحجوز,Total réservé
appLCompleteRide,Complete Ride,Viaje completo,رحلة كاملة,Parcours complet
appLRoundTrip,Round Trip,Ida y vuelta,رحلة ذهاب وعودة,Aller-retour
appLBookingReject,Booking Reject,Rechazo de reserva,رفض الحجز,Rejet de réservation
appLTopSpeed,Top Speed,Velocidad máxima,السرعة القصوى,Vitesse de pointe
appLPeakPower,Peak Power,Potencia máxima,ذروة الطاقة,Puissance de crête
appLPending,Pending,Pendiente,قيد الانتظار,En attente
appLPleaseWait,Please Wait,Espere por favor,انتظر من فضلك,"S'il vous plaît, attendez"
appLSetting,Setting,Configuración,جلسة,Paramètre
appLOngoing,Ongoing,En curso,جاري,En cours
appLComplete,Complete,Completo,مكتمل,Complet
appLReject,Rejected,Rechazado,مرفوض,Rejeté
appLRange,Range,Rango,يتراوح,Gamme
appLDetails,Details,Detalles,تفاصيل,Détails
appLReview,Reviews,Reseñas,المراجعات,Avis
appLPerMonth,/per month,/por mes,/كل شهر,/par mois
appLBookNow,Book Now,Reservar ahora,احجز الآن,Réservez maintenant
appLBookYorCarVendor,Book Your Car,Reserva tu coche,احجز سيارتك,Réservez votre voiture
appLBook,Book,Libro,كتاب,Livre
appLCarNumber,Car Number,Número de coche,رقم السيارة,Numéro de voiture
appLTotalSeat,Total Seat,Asientos totales,إجمالي المقاعد,Nombre total de sièges
appLExperience,Experience,Experiencia,خبرة,Expérience
appLCarModel,Car Model,Modelo de coche,طراز السيارة,Modèle de voiture
appLYourLocation,Your Location,Tu ubicación,موقعك,Votre emplacement
appLLogin,Login,Acceso,تسجيل الدخول,Se connecter
appLNotification,Notification,Notificación,إشعار,Notification
appLNoNotification,No notifications yet.,No hay notificaciones todavía.,لا يوجد إشعارات حتى الآن.,Aucune notification pour le moment.
appLNoHistory,No History yet.,Aún no hay historia,لا يوجد تاريخ حتى الآن.,Pas encore d'histoire.
appLLoginNow,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,Connectez-vous maintenant
appLRegisterNow,Register Now,Regístrate ahora,سجل الآن,Inscrivez-vous maintenant
appLEmail,Email,Correo electrónico,بريد إلكتروني,E-mail
appLForgotPassword,Forgot Password ?,Has olvidado tu contraseña ?,هل نسيت كلمة السر ؟,Mot de passe oublié ?
appLAlreadyHaveAnAccount,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte?
appLFirstName,First Name,Nombre de pila,الاسم الأول,Prénom
appLLastName,Last Name,Apellido,اسم العائلة,Nom de famille
appLPickUpLocation,Pick-up Location,Lugar de recogida,مكان الاستلام,Lieu de prise en charge
appLWriteHere,write Here,Escribe aquí,اكتب هنا,Écrivez ici
appLDestination,Destination,Destino,وجهة,Destination
appLDistance,Distance K/m,Distancia K/m,المسافة ك/م,Distance K/m
appLPickUpdate,Pick-up Date,Fecha de recogida,تاريخ الاستلام,Date de prise en charge
appLStatus,Status,Estado,حالة,Statut
appLNoCarFindMessage,We could not find any cars based on your search.,No pudimos encontrar ningún coche en base a su búsqueda.,لم نتمكن من العثور على أي سيارات بناءً على بحثك.,Nous n'avons trouvé aucune voiture en fonction de votre recherche.
appLTotalAmount,Total Amount,Importe total,المبلغ الإجمالي,Montant total
appLTotalRent,Total Rent,Alquiler total,إجمالي الإيجار,Loyer total
appLRate,Rate,Tasa,معدل,Taux
appLTotalPayable,Total Payable,Total a pagar,إجمالي المبلغ المستحق,Total à payer
appLPickUpTime,Pick-up Time,Hora de recogida,وقت الاستلام,Heure de prise en charge
appLEmailAddress,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email
appLPassword,Password,Contraseña,كلمة المرور,Mot de passe
appLIHaveAgreedWith,I have agreed with,Estoy de acuerdo con,لقد وافقت على,Je suis d'accord avec
appLTermsOfUse,Terms and Condition,Términos y condiciones,الشروط والأحكام,Conditions générales
appLSendOtp,Send OTP,Enviar OTP,إرسال OTP,Envoyer un OTP
appLError,Error,Error,خطأ,Erreur
appLPleaseEnterTheCode,Please enter the verification code,"Por favor, introduzca el código de verificación",الرجاء إدخال رمز التحقق,Veuillez saisir le code de vérification
appLWeSentADigitCode,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
appLDidntGetTheCode,Didnt get the code?,¿No recibiste el código?,لم تحصل على الكود؟,Vous n'avez pas reçu le code ?
appLResend,Resend,Reenviar,إعادة الإرسال,Renvoyer
appLSubmit,Submit,Entregar,يُقدِّم,Soumettre
appLLogInTitleText,Login Or Register for an Account Today,Inicie sesión o regístrese para obtener una cuenta hoy,تسجيل الدخول أو التسجيل للحصول على حساب اليوم,Connectez-vous ou créez un compte aujourd'hui
appLResetPasswordTitleText,Reset Your Forgotten Password?,¿Restablecer su contraseña olvidada?,إعادة تعيين كلمة المرور المنسية؟,Réinitialiser votre mot de passe oublié ?
appLResetPasswordDescriptionText,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Toma el control de tu cuenta restableciendo tu contraseña. Nuestra página de recuperación de contraseña te guía por los pasos necesarios para restablecerla de forma segura.,تحكّم بحسابك بإعادة تعيين كلمة مرورك. تُرشدك صفحة استعادة كلمة المرور لدينا إلى الخطوات اللازمة لإعادة تعيين كلمة مرورك بأمان.,Reprenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guidera à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.
appLLogInDescriptionText,Become a part of our community by login or registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Únete a nuestra comunidad iniciando sesión o registrándote hoy mismo. Disfruta de una variedad de beneficios y funciones adaptadas a tus necesidades.,انضم إلى مجتمعنا اليوم بتسجيل الدخول أو إنشاء حساب. استمتع بمجموعة من المزايا والخصائص المصممة خصيصًا لتلبية احتياجاتك.,Rejoignez notre communauté en vous connectant ou en créant un compte dès aujourd'hui. Profitez d'une gamme d'avantages et de fonctionnalités adaptés à vos besoins.
appLYouCanResend,You Can Resend,Puedes reenviar,يمكنك إعادة الإرسال,Vous pouvez renvoyer
appLSkip,Skip,Saltar,يتخطى,Sauter
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة,Nouveau mot de passe
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe
appLResetPassword,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser le mot de passe
appLResetPasswordTile,Please enter a new password,"Por favor, introduzca una nueva contraseña",الرجاء إدخال كلمة مرور جديدة,Veuillez entrer un nouveau mot de passe
appLResetPasswordDes,"Create a strong password with a mix of letters, numbers, and symbols to keep your account safe","Crea una contraseña segura con una combinación de letras, números y símbolos para mantener tu cuenta segura",قم بإنشاء كلمة مرور قوية تحتوي على مزيج من الأحرف والأرقام والرموز للحفاظ على أمان حسابك,"Créez un mot de passe fort avec un mélange de lettres, de chiffres et de symboles pour protéger votre compte"
appLCountry,Country,País,دولة,Pays
appLSelectArea,Select Area,Seleccionar área,حدد المنطقة,Sélectionner une zone
appLSelectADate,Select a date,Seleccione una fecha,حدد تاريخًا,Sélectionnez une date
appLSelectType,Select type,Seleccione el tipo,حدد النوع,Sélectionnez le type
appLPhone,Phone,Teléfono,هاتف,Téléphone
appLAddress,Address,DIRECCIÓN,عنوان,Adresse
appLCity,City,Ciudad,مدينة,Ville
appLState,State,Estado,ولاية,État
appLZipCode,Zip Code,Código postal,الرمز البريدي,Code postal
appLUpdate,Update,Actualizar,تحديث,Mise à jour
appLEditProfile,Edit Profile,Editar perfil,تعديل الملف الشخصي,Modifier le profil
appLDelete,Delete,Borrar,يمسح,Supprimer
appLSelectATime,Select a time,Seleccione una hora,حدد الوقت,Sélectionnez une heure
appLFindCar,Find Car,Encuentra coche,البحث عن سيارة,Trouver une voiture
appLNote,Note,Nota,ملحوظة,Note
appLRoundTripDate,Round Trip Date,Fecha de ida y vuelta,تاريخ الرحلة ذهابًا وإيابًا,Date du voyage aller-retour
appLRoundTripTime,Round Trip Time,Tiempo de ida y vuelta,وقت الرحلة ذهابًا وإيابًا,Temps de trajet aller-retour
